CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2,source_row_1based,sample_id,decision,decision_reason,quality_flags,label_source,V1_ml,V2_ml,canonical_smiles,operational_keep,filter_reason,column,V1_limit_ml,V2_limit_ml
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,10/1,15,2023-07-20_12-18-18.xlsx,Silica-CS 25g,2186.0,3343.0,CCOC(=O)C1=CC=CC=C1,2186.0,3343.0,16,f22d2fd5ce5271fa56ed,keep,,,verified_t1_t2,27.325,41.7875,CCOC(=O)c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,20/1,15,2023-07-20_12-27-20.xlsx,Silica-CS 25g,2940.0,4158.0,CCOC(=O)C1=CC=CC=C1,2940.0,4158.0,17,47a37c196cfcc8a2adcd,keep,,,verified_t1_t2,36.75,51.975,CCOC(=O)c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,20/1,15,2023-07-20_12-36-07.xlsx,Silica-CS 25g,2968.0,4041.0,CCOC(=O)C1=CC=CC=C1,2968.0,4041.0,18,92b4442f029bd2b52e98,keep,,,verified_t1_t2,37.1,50.5125,CCOC(=O)c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,50/1,15,2023-07-20_13-24-15.xlsx,Silica-CS 25g,3709.0,6810.0,CCOC(=O)C1=CC=CC=C1,3709.0,6810.0,22,67c36d1c198aa43502b1,keep,,,verified_t1_t2,46.3625,85.125,CCOC(=O)c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,100,PE,300,0/1,15,2023-07-20_13-38-32.xlsx,Silica-CS 25g,1408.0,1851.0,CCOC(=O)CC1=CC=CC=C1,1408.0,1851.0,23,a4be93de6d5738c27ca4,keep,,,verified_t1_t2,17.6,23.1375,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,200,PE,300,0/1,15,2023-07-20_13-47-30.xlsx,Silica-CS 25g,1571.0,2104.0,CCOC(=O)CC1=CC=CC=C1,1571.0,2104.0,24,ccda847b26c529ff33cf,keep,,,verified_t1_t2,19.6375,26.3,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,300,PE,300,0/1,15,2023-07-20_13-53-20.xlsx,Silica-CS 25g,1352.0,1972.0,CCOC(=O)CC1=CC=CC=C1,1352.0,1972.0,25,f973abb3536190fcd526,keep,,,verified_t1_t2,16.9,24.65,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,100,PE,300,1/1,15,2023-07-20_13-59-22.xlsx,Silica-CS 25g,1517.0,2159.0,CCOC(=O)CC1=CC=CC=C1,1517.0,2159.0,26,a112bc8b77fb0211e81e,keep,,,verified_t1_t2,18.9625,26.9875,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,200,PE,300,1/1,15,2023-07-20_14-04-59.xlsx,Silica-CS 25g,1570.0,2324.0,CCOC(=O)CC1=CC=CC=C1,1570.0,2324.0,27,434ce0c029d26e7f46d9,keep,,,verified_t1_t2,19.625,29.05,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,300,PE,300,2/1,15,2023-07-20_14-30-04.xlsx,Silica-CS 25g,1693.0,2812.0,CCOC(=O)CC1=CC=CC=C1,1693.0,2812.0,31,82169c113b8ac0311126,keep,,,verified_t1_t2,21.1625,35.15,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,200,PE,300,10/1,15,2023-07-20_16-13-08.xlsx,Silica-CS 25g,2866.0,4906.0,CCOC(=O)CC1=CC=CC=C1,2866.0,4906.0,36,aa61fdd9bb9a6135974f,keep,,,verified_t1_t2,35.825,61.325,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,300,PE,300,10/1,15,2023-07-20_16-23-31.xlsx,Silica-CS 25g,2845.0,5132.0,CCOC(=O)CC1=CC=CC=C1,2845.0,5132.0,37,b4982c6fe4189a6e69ae,keep,,,verified_t1_t2,35.5625,64.15,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,100,PE,300,20/1,15,2023-07-20_16-34-19.xlsx,Silica-CS 25g,4893.0,5613.0,CCOC(=O)CC1=CC=CC=C1,4893.0,5613.0,38,2ce21e06dbdf4ea05c18,keep,,,verified_t1_t2,61.1625,70.1625,CCOC(=O)Cc1ccccc1,False,V1_above_limit,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,300,PE,300,20/1,15,2023-07-20_21-03-38.xlsx,Silica-CS 25g,3939.0,6497.0,CCOC(=O)CC1=CC=CC=C1,3939.0,6497.0,40,1463d076a03f802af828,keep,,,verified_t1_t2,49.2375,81.2125,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
101-97-3,Ethyl phenylacetate,0.99,1.03,300,PE,300,50/1,15,2023-07-20_17-28-32.xlsx,Silica-CS 25g,1262.0,2855.0,CCOC(=O)CC1=CC=CC=C1,1262.0,2855.0,43,f79ab1e2a84d07ac4ba6,keep,,,verified_t1_t2,15.775,35.6875,CCOC(=O)Cc1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,200,PE,300,0/1,15,2023-07-20_17-49-00.xlsx,Silica-CS 25g,1419.0,2236.0,COC(=O)C1=CC=CC=C1O,1419.0,2236.0,45,4e646ecf53aa1f54aa4c,keep,,,verified_t1_t2,17.7375,27.95,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,300,PE,300,0/1,15,2023-07-20_17-54-36.xlsx,Silica-CS 25g,1458.0,2329.0,COC(=O)C1=CC=CC=C1O,1458.0,2329.0,46,d904ffc0b7ecd5a31e99,keep,,,verified_t1_t2,18.225,29.1125,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,100,PE,300,1/1,15,2023-07-20_18-00-43.xlsx,Silica-CS 25g,1745.0,2411.0,COC(=O)C1=CC=CC=C1O,1745.0,2411.0,47,53127d2db66fef2adf5d,keep,,,verified_t1_t2,21.8125,30.1375,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,200,PE,300,1/1,15,2023-07-20_18-06-39.xlsx,Silica-CS 25g,1599.0,2508.0,COC(=O)C1=CC=CC=C1O,1599.0,2508.0,48,6d519fda6f562cc6a9d1,keep,,,verified_t1_t2,19.9875,31.35,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,300,PE,300,2/1,15,2023-07-20_18-32-14.xlsx,Silica-CS 25g,1735.0,2840.0,COC(=O)C1=CC=CC=C1O,1735.0,2840.0,52,e3eab9862434eff9ff48,keep,,,verified_t1_t2,21.6875,35.5,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,200,PE,300,5/1,15,2023-07-20_18-46-52.xlsx,Silica-CS 25g,2043.0,3164.0,COC(=O)C1=CC=CC=C1O,2043.0,3164.0,54,3f5658daadb03557f978,keep,,,verified_t1_t2,25.5375,39.55,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,300,PE,300,5/1,15,2023-07-20_18-54-09.xlsx,Silica-CS 25g,2074.0,3296.0,COC(=O)C1=CC=CC=C1O,2074.0,3296.0,55,f0cd8f38ea399995c1c0,keep,,,verified_t1_t2,25.925,41.2,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,100,PE,300,10/1,15,2023-07-20_19-02-26.xlsx,Silica-CS 25g,2727.0,3309.0,COC(=O)C1=CC=CC=C1O,2727.0,3309.0,56,4a815890fd69218c7348,keep,,,verified_t1_t2,34.0875,41.3625,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,100,PE,300,20/1,15,2023-07-20_19-50-36.xlsx,Silica-CS 25g,2912.0,4380.0,COC(=O)C1=CC=CC=C1O,2912.0,4380.0,59,335a16c740c4c46056d8,keep,,,verified_t1_t2,36.4,54.75,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,200,PE,300,20/1,15,2023-07-20_19-59-48.xlsx,Silica-CS 25g,2919.0,4454.0,COC(=O)C1=CC=CC=C1O,2919.0,4454.0,60,c13f53ca5fa5d58db4e3,keep,,,verified_t1_t2,36.4875,55.675,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,300,PE,300,20/1,15,2023-07-20_20-09-10.xlsx,Silica-CS 25g,2874.0,4548.0,COC(=O)C1=CC=CC=C1O,2874.0,4548.0,61,be81dcc53bd497de4045,keep,,,verified_t1_t2,35.925,56.85,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
119-36-8,Methyl salicylate,0.99,1.174,300,PE,300,50/1,15,2023-07-20_20-46-25.xlsx,Silica-CS 25g,3670.0,6488.0,COC(=O)C1=CC=CC=C1O,3670.0,6488.0,64,79675bcf5b0e99e5b61b,keep,,,verified_t1_t2,45.875,81.1,COC(=O)c1ccccc1O,True,within_legacy_operational_domain,25g,60.0,120.0
26537-19-9,Methyl 4-tert-butylbenzoate,0.99,0.995,200,PE,300,1/1,15,2023-07-23_13-07-07.xlsx,Silica-CS 25g,1525.0,2402.0,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,1525.0,2402.0,66,3b862f9a958f542037f0,keep,,,verified_t1_t2,19.0625,30.025,COC(=O)c1ccc(C(C)(C)C)cc1,True,within_legacy_operational_domain,25g,60.0,120.0
26537-19-9,Methyl 4-tert-butylbenzoate,0.99,0.995,200,PE,300,2/1,15,2023-07-23_13-13-33.xlsx,Silica-CS 25g,1667.0,2605.0,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,1667.0,2605.0,67,19d469b56d039f4b97d9,keep,,,verified_t1_t2,20.8375,32.5625,COC(=O)c1ccc(C(C)(C)C)cc1,True,within_legacy_operational_domain,25g,60.0,120.0
26537-19-9,Methyl 4-tert-butylbenzoate,0.99,0.995,200,PE,300,20/1,15,2023-07-23_13-38-54.xlsx,Silica-CS 25g,2661.0,4574.0,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,2661.0,4574.0,70,1bcc67553db325699e45,keep,,,verified_t1_t2,33.2625,57.175,COC(=O)c1ccc(C(C)(C)C)cc1,True,within_legacy_operational_domain,25g,60.0,120.0
535-11-5,Ethyl 2-bromopropionate,0.99,1.394,200,DCM,300,2/1,15,2023-07-23_14-18-48.xlsx,Silica-CS 25g,1817.0,2511.0,CCOC(=O)C(C)Br,1817.0,2511.0,74,ca8d7b6d27aec00c49c2,keep,,,verified_t1_t2,22.7125,31.3875,CCOC(=O)C(C)Br,True,within_legacy_operational_domain,25g,60.0,120.0
535-11-5,Ethyl 2-bromopropionate,0.99,1.394,200,DCM,300,50/1,15,2023-07-23_15-13-19.xlsx,Silica-CS 25g,5119.0,7604.0,CCOC(=O)C(C)Br,5119.0,7604.0,78,66e275ad235046c4d08d,keep,,,verified_t1_t2,63.9875,95.05,CCOC(=O)C(C)Br,False,V1_above_limit,25g,60.0,120.0
94-02-0,Ethyl benzoylacetate,0.94,1.11,200,DCM,300,1/1,15,2023-07-23_15-48-11.xlsx,Silica-CS 25g,1619.0,3630.0,CCOC(=O)CC(=O)C1=CC=CC=C1,1619.0,3630.0,80,322557fad8d88c9def2f,keep,,,verified_t1_t2,20.2375,45.375,CCOC(=O)CC(=O)c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
94-02-0,Ethyl benzoylacetate,0.94,1.11,200,DCM,300,2/1,15,2023-07-23_15-57-28.xlsx,Silica-CS 25g,2104.0,4251.0,CCOC(=O)CC(=O)C1=CC=CC=C1,2104.0,4251.0,81,b48cf6017216045f161b,keep,,,verified_t1_t2,26.3,53.1375,CCOC(=O)CC(=O)c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
94-02-0,Ethyl benzoylacetate,0.94,1.11,200,DCM,300,5/1,15,2023-07-23_16-08-36.xlsx,Silica-CS 25g,3058.0,5418.0,CCOC(=O)CC(=O)C1=CC=CC=C1,3058.0,5418.0,82,3dae39678226d5c021f3,keep,,,verified_t1_t2,38.225,67.725,CCOC(=O)CC(=O)c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
94-02-0,Ethyl benzoylacetate,0.94,1.11,200,DCM,300,10/1,15,2023-07-23_16-21-59.xlsx,Silica-CS 25g,4218.0,6795.0,CCOC(=O)CC(=O)C1=CC=CC=C1,4218.0,6795.0,83,554f6af68bde46382b43,keep,,,verified_t1_t2,52.725,84.9375,CCOC(=O)CC(=O)c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
94-02-0,Ethyl benzoylacetate,0.94,1.11,200,DCM,300,20/1,15,2023-07-23_16-42-40.xlsx,Silica-CS 25g,6345.0,11137.0,CCOC(=O)CC(=O)C1=CC=CC=C1,6345.0,11137.0,84,bf8d3a50b7c1c5fa885c,keep,,,verified_t1_t2,79.3125,139.2125,CCOC(=O)CC(=O)c1ccccc1,False,V1_and_V2_above_limit,25g,60.0,120.0
600-00-0,Ethyl 2-bromoisobutyrate,0.98,1.329,200,PE,300,0/1,15,2023-07-25_10-26-01.xlsx,Silica-CS 25g,1468.0,1933.0,CCOC(=O)C(C)(C)Br,1468.0,1933.0,86,26b93c7f1eb64f9bb085,keep,,,verified_t1_t2,18.35,24.1625,CCOC(=O)C(C)(C)Br,True,within_legacy_operational_domain,25g,60.0,120.0
600-00-0,Ethyl 2-bromoisobutyrate,0.98,1.329,200,PE,300,1/1,15,2023-07-25_10-31-22.xlsx,Silica-CS 25g,1495.0,2155.0,CCOC(=O)C(C)(C)Br,1495.0,2155.0,87,d41b5b3d67de8abe1722,keep,,,verified_t1_t2,18.6875,26.9375,CCOC(=O)C(C)(C)Br,True,within_legacy_operational_domain,25g,60.0,120.0
600-00-0,Ethyl 2-bromoisobutyrate,0.98,1.329,200,PE,300,2/1,15,2023-07-25_10-36-58.xlsx,Silica-CS 25g,1636.0,2313.0,CCOC(=O)C(C)(C)Br,1636.0,2313.0,88,5bb9c972dff9492adfe5,keep,,,verified_t1_t2,20.45,28.9125,CCOC(=O)C(C)(C)Br,True,within_legacy_operational_domain,25g,60.0,120.0
600-00-0,Ethyl 2-bromoisobutyrate,0.98,1.329,200,PE,300,5/1,15,2023-07-25_10-43-05.xlsx,Silica-CS 25g,1798.0,2647.0,CCOC(=O)C(C)(C)Br,1798.0,2647.0,89,46360fa3bfdc184e60c6,keep,,,verified_t1_t2,22.475,33.0875,CCOC(=O)C(C)(C)Br,True,within_legacy_operational_domain,25g,60.0,120.0
600-00-0,Ethyl 2-bromoisobutyrate,0.98,1.329,200,PE,300,10/1,15,2023-07-25_10-50-01.xlsx,Silica-CS 25g,2099.0,3140.0,CCOC(=O)C(C)(C)Br,2099.0,3140.0,90,2c60fd9f5b8e7a7cebe0,keep,,,verified_t1_t2,26.2375,39.25,CCOC(=O)C(C)(C)Br,True,within_legacy_operational_domain,25g,60.0,120.0
600-00-0,Ethyl 2-bromoisobutyrate,0.98,1.329,200,PE,300,20/1,15,2023-07-25_10-58-19.xlsx,Silica-CS 25g,2584.0,3907.0,CCOC(=O)C(C)(C)Br,2584.0,3907.0,91,b776e9fe6fb1d6ec39a7,keep,,,verified_t1_t2,32.3,48.8375,CCOC(=O)C(C)(C)Br,True,within_legacy_operational_domain,25g,60.0,120.0
600-00-0,Ethyl 2-bromoisobutyrate,0.98,1.329,200,PE,300,50/1,15,2023-07-25_11-09-47.xlsx,Silica-CS 25g,3696.0,5796.0,CCOC(=O)C(C)(C)Br,3696.0,5796.0,92,20d53be22d752b1ce3db,keep,,,verified_t1_t2,46.2,72.45,CCOC(=O)C(C)(C)Br,True,within_legacy_operational_domain,25g,60.0,120.0
103-36-6,Ethyl (2Z)-3-aminobut-2-enoate,0.99,1.049,200,DCM,300,0/1,15,2023-07-25_11-26-11.xlsx,Silica-CS 25g,1661.0,3848.0,CCOC(=O)/C=C/C1=CC=CC=C1,1661.0,3848.0,93,f7d083ce300f7f32efde,keep,,,verified_t1_t2,20.7625,48.1,CCOC(=O)/C=C/c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
103-36-6,Ethyl cinnamate,0.99,1.049,200,DCM,300,1/1,15,2023-07-25_11-32-58.xlsx,Silica-CS 25g,1438.0,3038.0,CCOC(=O)/C=C/C1=CC=CC=C1,1438.0,3038.0,94,50fb3c6eb81de4a012f8,keep,,,verified_t1_t2,17.975,37.975,CCOC(=O)/C=C/c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
103-36-6,Ethyl cinnamate,0.99,1.049,200,DCM,300,2/1,15,2023-07-25_11-40-25.xlsx,Silica-CS 25g,1578.0,3434.0,CCOC(=O)/C=C/C1=CC=CC=C1,1578.0,3434.0,95,1981ec7ebc0e1f69ab59,keep,,,verified_t1_t2,19.725,42.925,CCOC(=O)/C=C/c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
103-36-6,Ethyl cinnamate,0.99,1.049,200,DCM,300,10/1,15,2023-07-25_11-59-10.xlsx,Silica-CS 25g,2342.0,5084.0,CCOC(=O)/C=C/C1=CC=CC=C1,2342.0,5084.0,97,2f6ba9a4bf41d66f13e5,keep,,,verified_t1_t2,29.275,63.55,CCOC(=O)/C=C/c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
103-36-6,Ethyl cinnamate,0.99,1.049,200,DCM,300,20/1,15,2023-07-25_12-11-49.xlsx,Silica-CS 25g,3352.0,6539.0,CCOC(=O)/C=C/C1=CC=CC=C1,3352.0,6539.0,98,8f8c7a8eef2727c2faed,keep,,,verified_t1_t2,41.9,81.7375,CCOC(=O)/C=C/c1ccccc1,True,within_legacy_operational_domain,25g,60.0,120.0
103-36-6,Ethyl (2Z)-3-aminobut-3-enoate,0.99,1.049,200,DCM,300,50/1,15,2023-07-25_12-32-45.xlsx,Silica-CS 25g,6095.0,11502.0,CCOC(=O)/C=C/C1=CC=CC=C1,6095.0,11502.0,99,60ff058a547f1a77a0df,keep,,,verified_t1_t2,76.1875,143.775,CCOC(=O)/C=C/c1ccccc1,False,V1_and_V2_above_limit,25g,60.0,120.0
626-34-6,Ethyl (2Z)-3-aminobut-2-enoate,0.9976,1.022,200,PE,300,0/1,15,2023-07-25_13-04-19.xlsx,Silica-CS 25g,1616.0,5273.0,CCOC(=O)/C=C(/C)\N,1616.0,5273.0,100,00a552cee199fca32813,keep,,,verified_t1_t2,20.2,65.9125,CCOC(=O)/C=C(/C)N,True,within_legacy_operational_domain,25g,60.0,120.0
626-34-6,Ethyl (2Z)-3-aminobut-2-enoate,0.9976,1.022,200,PE,300,1/1,15,2023-07-25_13-13-12.xlsx,Silica-CS 25g,2182.0,4261.0,CCOC(=O)/C=C(/C)\N,2182.0,4261.0,101,0bdbf0345265fba28be3,keep,,,verified_t1_t2,27.275,53.2625,CCOC(=O)/C=C(/C)N,True,within_legacy_operational_domain,25g,60.0,120.0
626-34-6,Ethyl (2Z)-3-aminobut-2-enoate,0.9976,1.022,200,PE,300,2/1,15,2023-07-25_13-24-05.xlsx,Silica-CS 25g,3057.0,5481.0,CCOC(=O)/C=C(/C)\N,3057.0,5481.0,102,4a2f611598e15ac768d5,keep,,,verified_t1_t2,38.2125,68.5125,CCOC(=O)/C=C(/C)N,True,within_legacy_operational_domain,25g,60.0,120.0
626-34-6,Ethyl (2Z)-3-aminobut-2-enoate,0.9976,1.022,200,PE,300,5/1,15,2023-07-25_13-44-46.xlsx,Silica-CS 25g,5771.0,11318.0,CCOC(=O)/C=C(/C)\N,5771.0,11318.0,103,266fb539c3be42bea3c4,keep,,,verified_t1_t2,72.1375,141.475,CCOC(=O)/C=C(/C)N,False,V1_and_V2_above_limit,25g,60.0,120.0
1694-31-1,tert-Butyl acetoacetate,0.97,0.954,200,DCM,300,0/1,15,2023-07-25_14-52-56.xlsx,Silica-CS 25g,1390.0,2202.0,CC(=O)CC(=O)OC(C)(C)C,1390.0,2202.0,105,8f7fb924ad5a7e58c9bf,keep,,,verified_t1_t2,17.375,27.525,CC(=O)CC(=O)OC(C)(C)C,True,within_legacy_operational_domain,25g,60.0,120.0
1694-31-1,tert-Butyl acetoacetate,0.97,0.954,200,DCM,300,1/1,15,2023-07-25_14-59-33.xlsx,Silica-CS 25g,1770.0,2949.0,CC(=O)CC(=O)OC(C)(C)C,1770.0,2949.0,106,6518882abdf6d0bf6529,keep,,,verified_t1_t2,22.125,36.8625,CC(=O)CC(=O)OC(C)(C)C,True,within_legacy_operational_domain,25g,60.0,120.0
1694-31-1,tert-Butyl acetoacetate,0.97,0.954,200,DCM,300,2/1,15,2023-07-25_15-07-25.xlsx,Silica-CS 25g,2256.0,3705.0,CC(=O)CC(=O)OC(C)(C)C,2256.0,3705.0,107,47c08b4a6d6b5ba7ae19,keep,,,verified_t1_t2,28.2,46.3125,CC(=O)CC(=O)OC(C)(C)C,True,within_legacy_operational_domain,25g,60.0,120.0
1694-31-1,tert-Butyl acetoacetate,0.97,0.954,200,DCM,300,10/1,15,2023-07-25_15-35-32.xlsx,Silica-CS 25g,5210.0,9061.0,CC(=O)CC(=O)OC(C)(C)C,5210.0,9061.0,109,edf1e51b8a60841ace1f,keep,,,verified_t1_t2,65.125,113.2625,CC(=O)CC(=O)OC(C)(C)C,False,V1_above_limit,25g,60.0,120.0
1694-31-1,tert-Butyl acetoacetate,0.97,0.954,200,DCM,300,20/1,15,2023-07-25_16-03-44.xlsx,Silica-CS 25g,8837.0,15812.0,CC(=O)CC(=O)OC(C)(C)C,8837.0,15812.0,110,bcfa257346e108f3963d,keep,,,verified_t1_t2,110.4625,197.65,CC(=O)CC(=O)OC(C)(C)C,False,V1_and_V2_above_limit,25g,60.0,120.0
7318-00-5,ETHYL 3-AMINOBUT-2-ENOATE,0.9913,1.022,200,DCM,300,0/1,15,2023-07-25_16-13-13.xlsx,Silica-CS 25g,1534.0,3683.0,CCOC(=O)/C=C(/C)\N,1534.0,3683.0,112,fa35075c7b1b11294e8b,keep,,,verified_t1_t2,19.175,46.0375,CCOC(=O)/C=C(/C)N,True,within_legacy_operational_domain,25g,60.0,120.0
